 Format                 IAGA-2002                                    |
 Source of Data         EOST, Strasbourg, France                     |
 Station Name           am                                           |
 IAGA CODE              am                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               am, Kpm, an, as, Am, An, As                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     3-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format by the International Service of      |
 #  Geomagnetic indices (ISGI, https://isgi.unistra.fr).             |
 # The values in the raw of 00:00:00.000 are the values              |
 #  between 00:00UT and 03:00UT, etc.                                |
 # Missing values of an,as,am are indicated by value 999             |
 # am: am = (an + as)/2, rounded to unit 1 nT                        |
 # Kpm: Expressed in a quasi-logarithmic scale of thirds,            |
 #      it ranges from Oo to 9                                       | 
 # an: Northern index, rounded to unit 1 nT                          |
 # as: Southern index, rounded to unit 1 nT                          |
 # Am: Daily Mean of am, rounded to unit 1 nT                        |
 # An: Daily Mean of an, rounded to unit 1 nT                        |
 # As: Daily Mean of as, rounded to unit 1 nT                        |
 #                                                                   |
 # License: CC BY-NC                                                 |
 #          https://creativecommons.org/licenses/by-nc/4.0/          |
 #                                                                   |
 # For more information on aa index, please visit                    |
 #  ISGI website at EOST/UDS: https://isgi.unistra.fr                |
DATE       TIME         DOY   am  Kpm   an   as   Am   An   As       |
2015-08-14 18:00:00.000 226    8   1-    8    7    6    6    5
2015-08-14 21:00:00.000 226   13   2-   13   12    6    6    5
2015-08-15 00:00:00.000 227   17   2+   21   14   60   58   62
2015-08-15 03:00:00.000 227   14   2-   14   14   60   58   62
2015-08-15 06:00:00.000 227   52   4o   52   52   60   58   62
2015-08-15 09:00:00.000 227  140   6-  119  161   60   58   62
2015-08-15 12:00:00.000 227  129   6-  123  135   60   58   62
2015-08-15 15:00:00.000 227   54   4o   59   48   60   58   62
2015-08-15 18:00:00.000 227   35   3+   33   36   60   58   62
2015-08-15 21:00:00.000 227   40   3+   40   39   60   58   62
2015-08-16 00:00:00.000 228   82   5-   71   93   53   51   54
2015-08-16 03:00:00.000 228   56   4o   50   62   53   51   54
2015-08-16 06:00:00.000 228  104   5+  111   98   53   51   54
2015-08-16 09:00:00.000 228   40   3+   37   42   53   51   54
2015-08-16 12:00:00.000 228   25   3-   29   22   53   51   54
2015-08-16 15:00:00.000 228   42   4-   45   39   53   51   54
2015-08-16 18:00:00.000 228   31   3o   30   32   53   51   54
2015-08-16 21:00:00.000 228   41   4-   37   44   53   51   54
2015-08-17 00:00:00.000 229   38   3+   35   40   45   43   47
2015-08-17 03:00:00.000 229   53   4o   49   57   45   43   47
2015-08-17 06:00:00.000 229   57   4o   56   58   45   43   47
2015-08-17 09:00:00.000 229   59   4o   50   69   45   43   47
2015-08-17 12:00:00.000 229   60   4+   62   58   45   43   47
2015-08-17 15:00:00.000 229   37   3+   39   36   45   43   47
2015-08-17 18:00:00.000 229   36   3+   34   38   45   43   47
2015-08-17 21:00:00.000 229   22   3-   21   23   45   43   47
2015-08-18 00:00:00.000 230   31   3o   25   37   17   17   17
2015-08-18 03:00:00.000 230   27   3-   29   24   17   17   17
2015-08-18 06:00:00.000 230   20   2+   21   19   17   17   17
2015-08-18 09:00:00.000 230   12   1+   13   11   17   17   17
2015-08-18 12:00:00.000 230    8   1-    8    7   17   17   17
2015-08-18 15:00:00.000 230   13   2-   14   13   17   17   17
2015-08-18 18:00:00.000 230    7   1-    7    6   17   17   17
2015-08-18 21:00:00.000 230   16   2o   16   16   17   17   17
2015-08-19 00:00:00.000 231   43   4-   43   42   34   35   32
2015-08-19 03:00:00.000 231   36   3+   32   40   34   35   32
2015-08-19 06:00:00.000 231   39   3+   39   38   34   35   32
2015-08-19 09:00:00.000 231   30   3o   36   23   34   35   32
2015-08-19 12:00:00.000 231   46   4-   53   40   34   35   32
2015-08-19 15:00:00.000 231   35   3+   36   33   34   35   32
2015-08-19 18:00:00.000 231   20   2+   21   19   34   35   32
2015-08-19 21:00:00.000 231   20   2+   22   17   34   35   32
2015-08-20 00:00:00.000 232   20   2+   25   16   24   27   22
2015-08-20 03:00:00.000 232   21   2+   24   19   24   27   22
2015-08-20 06:00:00.000 232   15   2o   15   15   24   27   22
2015-08-20 09:00:00.000 232   24   3-   27   21   24   27   22
2015-08-20 12:00:00.000 232   53   4o   60   46   24   27   22
2015-08-20 15:00:00.000 232   20   2+   22   17   24   27   22
2015-08-20 18:00:00.000 232   17   2+   20   14   24   27   22
2015-08-20 21:00:00.000 232   24   3-   23   24   24   27   22
2015-08-21 00:00:00.000 233    8   1-    9    7   10   11    9
2015-08-21 03:00:00.000 233   10   1o   10   10   10   11    9
2015-08-21 06:00:00.000 233   15   2o   15   15   10   11    9
2015-08-21 09:00:00.000 233    8   1-    8    7   10   11    9
2015-08-21 12:00:00.000 233   16   2o   20   13   10   11    9
2015-08-21 15:00:00.000 233    5   0+    7    4   10   11    9
2015-08-21 18:00:00.000 233    8   1-   10    7   10   11    9
2015-08-21 21:00:00.000 233   10   1o   10   10   10   11    9
2015-08-22 00:00:00.000 234   14   2-   15   12   17   18   16
2015-08-22 03:00:00.000 234    6   0+    7    6   17   18   16
2015-08-22 06:00:00.000 234   11   1+   12   10   17   18   16
2015-08-22 09:00:00.000 234   20   2+   21   19   17   18   16
2015-08-22 12:00:00.000 234   30   3o   33   27   17   18   16
2015-08-22 15:00:00.000 234   23   3-   23   24   17   18   16
2015-08-22 18:00:00.000 234   14   2-   15   13   17   18   16
2015-08-22 21:00:00.000 234   16   2o   19   14   17   18   16
2015-08-23 00:00:00.000 235   27   3-   30   23   42   45   38
2015-08-23 03:00:00.000 235   22   3-   24   19   42   45   38
2015-08-23 06:00:00.000 235   85   5-   95   76   42   45   38
2015-08-23 09:00:00.000 235   66   4+   65   66   42   45   38
2015-08-23 12:00:00.000 235   55   4o   61   49   42   45   38
2015-08-23 15:00:00.000 235   25   3-   23   28   42   45   38
2015-08-23 18:00:00.000 235   33   3o   38   28   42   45   38
2015-08-23 21:00:00.000 235   20   2+   23   18   42   45   38
2015-08-24 00:00:00.000 236   23   3-   25   21   15   16   14
2015-08-24 03:00:00.000 236   17   2+   15   20   15   16   14
2015-08-24 06:00:00.000 236   19   2+   22   16   15   16   14
2015-08-24 09:00:00.000 236   19   2+   20   17   15   16   14
2015-08-24 12:00:00.000 236   14   2-   16   11   15   16   14
2015-08-24 15:00:00.000 236   12   1+    7   16   15   16   14
2015-08-24 18:00:00.000 236   10   1o   12    8   15   16   14
2015-08-24 21:00:00.000 236    7   1-    9    5   15   16   14
2015-08-25 00:00:00.000 237   15   2o   15   15   18   19   17
2015-08-25 03:00:00.000 237   18   2+   19   16   18   19   17
2015-08-25 06:00:00.000 237   23   3-   26   19   18   19   17
2015-08-25 09:00:00.000 237   21   2+   22   20   18   19   17
2015-08-25 12:00:00.000 237   10   1o    9   10   18   19   17
2015-08-25 15:00:00.000 237   16   2o   17   14   18   19   17
2015-08-25 18:00:00.000 237   24   3-   23   25   18   19   17
2015-08-25 21:00:00.000 237   17   2+   20   15   18   19   17
2015-08-26 00:00:00.000 238   24   3-   26   22   51   51   50
2015-08-26 03:00:00.000 238   38   3+   32   44   51   51   50
2015-08-26 06:00:00.000 238   32   3o   29   35   51   51   50
2015-08-26 09:00:00.000 238   59   4o   65   54   51   51   50
2015-08-26 12:00:00.000 238   60   4+   69   51   51   51   50
2015-08-26 15:00:00.000 238   67   4+   73   60   51   51   50
2015-08-26 18:00:00.000 238   63   4+   55   71   51   51   50
2015-08-26 21:00:00.000 238   63   4+   62   63   51   51   50
2015-08-27 00:00:00.000 239   56   4o   47   64   76   71   81
2015-08-27 03:00:00.000 239  119   5+  114  124   76   71   81
2015-08-27 06:00:00.000 239   77   5-   84   71   76   71   81
2015-08-27 09:00:00.000 239   45   4-   50   41   76   71   81
2015-08-27 12:00:00.000 239   50   4o   50   50   76   71   81
2015-08-27 15:00:00.000 239   62   4+   67   57   76   71   81
2015-08-27 18:00:00.000 239   52   4o   45   60   76   71   81
2015-08-27 21:00:00.000 239  144   6-  108  181   76   71   81
2015-08-28 00:00:00.000 240  113   5+   79  147   61   56   67
2015-08-28 03:00:00.000 240   37   3+   39   36   61   56   67
2015-08-28 06:00:00.000 240   28   3o   26   31   61   56   67
2015-08-28 09:00:00.000 240   36   3+   35   38   61   56   67
2015-08-28 12:00:00.000 240   62   4+   66   58   61   56   67
2015-08-28 15:00:00.000 240   88   5o   76   99   61   56   67
2015-08-28 18:00:00.000 240   80   5-   77   82   61   56   67
2015-08-28 21:00:00.000 240   47   4-   50   44   61   56   67
2015-08-29 00:00:00.000 241   67   4+   55   79   27   27   27
2015-08-29 03:00:00.000 241   19   2+   18   21   27   27   27
2015-08-29 06:00:00.000 241   17   2+   19   16   27   27   27
2015-08-29 09:00:00.000 241   40   3+   43   37   27   27   27
2015-08-29 12:00:00.000 241   12   1+   14   10   27   27   27
2015-08-29 15:00:00.000 241   23   3-   23   22   27   27   27
2015-08-29 18:00:00.000 241   23   3-   23   22   27   27   27
2015-08-29 21:00:00.000 241   13   2-   17    9   27   27   27
2015-08-30 00:00:00.000 242   13   2-   11   14    8    9    7
2015-08-30 03:00:00.000 242    7   1-    7    8    8    9    7
2015-08-30 06:00:00.000 242    9   1o   10    7    8    9    7
2015-08-30 09:00:00.000 242    5   0+    6    5    8    9    7
